SMILES,Molecule Name,pxr_pEC50,adme_log_hlm_clint,adme_log_rlm_clint,adme_log_mdr1_mdck_er,adme_log_solubility_ph68,adme_log_ppb_human_unbound,adme_log_ppb_rat_unbound
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,OADMET-0003589,3.73,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,OADMET-0003587,5.14,,,,,,
C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,,,1.585990584,3.205708492,0.351122814,,,
C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,,,1.710633471,3.030717892,0.27381245,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,OADMET-0003606,3.81,,,,,,
C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1,OADMET-0005985,4.82,,,,,,
C(=C\c1ccccc1)/CNCc1ccc2c(c1)OCO2,,,1.590016582,2.758029545,-0.471818046,1.602819342,,
C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,,,1.261286665,2.645545073,-0.179355496,,,
C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,,,1.715736003,2.887008186,0.382653147,1.38219721,,
C/C=C/CCCN(Cc1cn[nH]c1)c1cc(C(N)=O)nc(C2CC2)n1,OADMET-0002835,5.01,,,,,,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,OADMET-0003803,3.27,,,,,,
C/C=C/c1ccc(OC)cc1,OADMET-0003755,1.87,,,,,,
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,,,0.675686709,1.027920136,,1.619093331,,
C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,OADMET-0001043,3.76,,,,,,
C1=C(c2c[nH]c3ncccc23)CCN(Cc2cn(Cc3ccccc3)nc2-c2cccnc2)C1,OADMET-0004025,4.55,,,,,,
C1CCC(OCc2noc(C3CC3)n2)CC1,,,1.532053339,2.570284855,-0.053557685,1.209515015,,
C1CCC2(CC1)NCCO2,OADMET-0002092,1.98,,,,,,
C1CCCNCC1,OADMET-0002052,2.49,,,,,,
C1CCCNCCC1,OADMET-0002057,1.97,,,,,,
C1CCN(C2CCNCC2)C1,OADMET-0002180,1.89,,,,,,
C1CCN(c2nc(NC3CC3)nc(N3CCCCC3)n2)CC1,,,,,-0.522136436,-0.207608311,,
C1CN(c2nc3c(c(N4CCSCC4)n2)SCC3)CCS1,,,2.099414736,3.183513834,-0.416802486,,,
C1COCCN1,OADMET-0002103,3.18,,,,,,
C=C(C)C1OCCC1CNC(=O)C1CCCCN1C(=O)c1cccs1,OADMET-0005107,5.03,,,,,,
C=C(C)C1OCCC1CNC(=O)N1CCCC1c1nc2cc(C)ccc2[nH]1,OADMET-0004689,4.22,,,,,,
C=C(C)CN(C)c1ccc(Br)c(S(=O)(=O)N2CCOCC2CC2CCOC2)n1,OADMET-0003212,5.98,,,,,,
C=C(C)CN(Cc1ccccc1)C(=O)C(=O)Nc1ccc2c(c1)C(=O)NCC2,OADMET-0005740,4.81,,,,,,
C=C(C)COc1ccc(C(=O)NCCc2cn3ccccc3n2)cc1,,,2.062852629,3.339503514,,1.437909036,,
C=C(C)COc1cccc(C(=O)NCc2nncn2C2CCCCC2)c1,,,2.199618068,3.319202281,1.227240813,1.429590802,,
C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1,OADMET-0005994,5.16,,,,,,
C=C1CC1C(=O)N(C)CCN(C)C(=O)c1cc2ccccc2c(OC)n1,OADMET-0003182,5.11,,,,,,
C=C1CCC(CNc2nc(C)ccc2S(=O)(=O)N2C3CCCC2CC(=O)NC3)CC1,OADMET-0002568,5.53,,,,,,
C=C1CCN(C(=O)NCc2cc(OC)ccc2OC(F)F)CC1,OADMET-0003000,4.69,,,,,,
C=C1CCN(C(=O)Nc2nnc(SCc3ccccc3)s2)C1,OADMET-0003346,5.34,,,,,,
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,,,0.675686709,1.027920136,-0.306550112,,,
C=CC(=O)N(C)C(C)c1ccccc1N1CCCS1(=O)=O,OADMET-0001597,4.5,,,,,,
C=CC(=O)N(C)CC(=O)N1CCC(=Cc2ccc(F)c(F)c2)CC1,OADMET-0001628,3.48,,,,,,
C=CC(=O)N(C)CC(=O)N1CCC2(CC1)Cc1cc(OC)ccc1C2=O,OADMET-0001648,2.64,,,,,,
C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,OADMET-0001775,3.43,,,,,,
C=CC(=O)N(C)CC(=O)N1CCN(Cc2cc3c(s2)CCCC3)CC1,OADMET-0001711,1.62,,,,,,
C=CC(=O)N(C)CC(=O)N1CCN(Cc2noc(-c3cccs3)n2)CC1,OADMET-0001590,2.88,,,,,,
C=CC(=O)N(C)CC(=O)N1CCN(c2cccc(Br)c2)CC1,OADMET-0001739,3.59,,,,,,
C=CC(=O)N(C)CC(=O)N1CCOC(c2ccc(Cl)s2)C1,OADMET-0001743,4.11,,,,,,
C=CC(=O)N(C)CC(=O)N1CC[C@@H](Oc2cccc(Cl)c2)C1,OADMET-0001612,3.53,,,,,,
C=CC(=O)N(C)CC(=O)N1CC[C@H](c2ccccc2)[C@H](CO)C1,OADMET-0001784,3.37,,,,,,
C=CC(=O)N(C)CC(=O)NC(C)(CC)c1nc2c(c(=O)[nH]1)CCCC2,OADMET-0001760,3.47,,,,,,
C=CC(=O)N(C)CC(=O)NC(C)c1ccc(-c2nn[nH]n2)cc1,OADMET-0001731,2.75,,,,,,
C=CC(=O)N(C)CC(=O)NCC(c1ccc(OC(C)C)cc1)N(C)C,OADMET-0001781,2.37,,,,,,
C=CC(=O)N(C)CC(=O)NCCN1C(=O)NC2(CCCC2)C1=O,OADMET-0001585,2.25,,,,,,
C=CC(=O)N(C)CC(=O)NCc1ccc(CN2CCS(=O)(=O)CC2)cc1,OADMET-0001749,1.65,,,,,,
C=CC(=O)N(C)CC(=O)N[C@H]1CCN(C(C)C)[C@@H]1c1ccc(Cl)c(F)c1,OADMET-0001622,4.2,,,,,,
C=CC(=O)N(C)CC(=O)N[C@H]1CC[C@H](c2nc3ccccc3o2)CC1,OADMET-0001640,2.23,,,,,,
C=CC(=O)N(C)CC(=O)Nc1cc(N2CCC3(CCC3)C2)c(Cl)cn1,OADMET-0001623,4.87,,,,,,
C=CC(=O)N(C)CC(=O)Nc1ccc(N2CCCCC2)cc1C(N)=O,OADMET-0001582,3.01,,,,,,
C=CC(=O)N(C)CC(=O)Nc1cccc(Cl)c1OC(C)C,OADMET-0001633,4.18,,,,,,
C=CC(=O)N(C)CC(=O)Nc1ccccc1N1CC2CCC1C2,OADMET-0001581,5.01,,,,,,
C=CC(=O)N(C)CC(=O)Nc1nn(-c2ncccc2F)cc1C,OADMET-0001662,3.14,,,,,,
C=CC(=O)N(C)CC(=O)Nc1nnc(C(C)(C)c2ccccc2)s1,OADMET-0001738,5.09,,,,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,,,1.89741814,3.308929409,1.938640339,1.770115295,0.838502776,
C=CC(=O)N(C)c1ccc(C(=O)N(C)Cc2csc(C(C)OC)n2)cc1,OADMET-0001783,3.99,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)N(C)c2nnc(C)s2)cc1,OADMET-0001712,2.66,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)N(Cc2ccccc2)CC(C)(C)O)cc1,OADMET-0001787,3.96,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)N2CCN(c3cccc(F)c3F)CC2)cc1,OADMET-0001730,3.26,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)N[C@@H]2CCCN(S(=O)(=O)C3CC3)C2)cc1,OADMET-0001589,3.04,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)Nc2ccc3c(c2)ncn3-c2ccccc2)cc1,OADMET-0001721,3.91,,,,,,
C=CC(=O)N(C)c1ccc(C(=O)Nc2nc3cc(C(N)=O)ccc3[nH]2)cc1,OADMET-0001592,2.44,,,,,,
C=CC(=O)N(CC)CC(=O)N(CC(=O)NC)CC(C)N1C[C@@H](C)O[C@@H](C)C1,OADMET-0001815,2.81,,,,,,
C=CC(=O)N(CC)CC(=O)N1CCCC1c1nc(-c2ccccc2Cl)c[nH]1,OADMET-0001709,4.56,,,,,,
C=CC(=O)N(CC)CC(=O)N1CCCN(S(=O)(=O)c2ccc(Cl)s2)CC1,OADMET-0001627,4.67,,,,,,
C=CC(=O)N(CC)CC(=O)N1CCN(C2CCCOC2)CC1,OADMET-0001727,2.54,,,,,,
C=CC(=O)N(CC)CC(=O)N1CCN(c2cc(N3CCOCC3)ncn2)CC1,OADMET-0001741,2.45,,,,,,
C=CC(=O)N(CC)CC(=O)NC(C)(C)c1cn(C(C)C)nn1,OADMET-0001652,3.09,,,,,,
C=CC(=O)N(CC)CC(=O)NCC(C)(C)C1(O)CCCOC1,OADMET-0001742,2.94,,,,,,
C=CC(=O)N(CC)CC(=O)Nc1ccc(C)c(Oc2ccnc(C(=O)NC)c2)c1,OADMET-0001593,4.84,,,,,,
C=CC(=O)N(CC)CC(=O)Nc1ccc(N2CCCC2=O)c(Cl)c1,OADMET-0001788,4.67,,,,,,
C=CC(=O)N(CC)CC(=O)Nc1ccc(OC)c(C(=O)c2ccccc2)c1,OADMET-0001800,4.53,,,,,,
C=CC(=O)N(CC1=CCCCC1)Cc1cc(-c2ccc(Cl)cc2)on1,OADMET-0001646,4.22,,,,,,
C=CC(=O)N(CCCN1CCOCC1)C1CCS(=O)(=O)C1,OADMET-0001626,2.86,,,,,,
C=CC(=O)N(CCc1c(C)noc1C)Cc1cc(Cl)cs1,OADMET-0001751,4.62,,,,,,
C=CC(=O)N(CCc1cn(C)nn1)CC1CCC(C)(C)CC1,OADMET-0001651,4.37,,,,,,
C=CC(=O)N(Cc1cc(Br)ccc1F)C1CCC2(CC1)OCCO2,OADMET-0001584,5.28,,,,,,
C=CC(=O)N(Cc1cc(C(N)=O)cs1)C[C@H]1CCO[C@@H]1c1cnn(C)c1,OADMET-0001725,2.55,,,,,,
C=CC(=O)N(Cc1cc(CC)no1)Cc1sncc1Br,OADMET-0001674,3.81,,,,,,
C=CC(=O)N(Cc1cc(OC)c(OC)c(OC)c1)CC(C)S(C)=O,OADMET-0001672,3.35,,,,,,
C=CC(=O)N(Cc1cc2c(cc1OC)CC(C)O2)Cc1ccsc1C,OADMET-0001773,5.81,,,,,,
C=CC(=O)N(Cc1ccc(CS(C)(=O)=O)cc1)Cc1cnn(C)c1,OADMET-0001579,2.77,,,,,,
C=CC(=O)N(Cc1ccccc1OCC)CC1(O)CCCC1,OADMET-0001587,5.09,,,,,,
C=CC(=O)N(Cc1ccn(C)n1)C1CCN(C(=O)c2ccccc2F)CC1,OADMET-0001556,3.58,,,,,,
C=CC(=O)N(Cc1ccn(C)n1)c1ccc(C(=O)N2CCC(O)CC2)cc1,OADMET-0001814,3.36,,,,,,
C=CC(=O)N(Cc1ccnn1CC1CCC1)c1cccc(CO)c1,OADMET-0001557,4.81,,,,,,
C=CC(=O)N(Cc1cnc(C(C)(C)C)nc1)c1ccc(NC(=O)CC)cc1,OADMET-0001723,4.07,,,,,,
C=CC(=O)N(Cc1cnn(C)c1C)CC1(c2cccc(F)c2)CCOCC1,OADMET-0001724,4.6,,,,,,
C=CC(=O)N(Cc1cnn(CC)c1)Cc1ccc(C2CC2C)o1,OADMET-0001735,4.27,,,,,,
C=CC(=O)N(Cc1nc2c(s1)CC(C)CC2)[C@@H](CC)CO,OADMET-0001619,5.05,,,,,,
C=CC(=O)N(Cc1oc(CC)nc1C)Cc1sc2ccccc2c1C,OADMET-0001614,3.88,,,,,,
C=CC(=O)N(c1ccc(C2CCOC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,OADMET-0001809,4.33,,,,,,
C=CC(=O)N1CC(C(=O)N(C)CCNS(=O)(=O)c2ccccc2[N+](=O)[O-])C1,OADMET-0001629,3.27,,,,,,
C=CC(=O)N1CC(C(=O)N(CCCC)Cc2nc3ccccc3c(=O)[nH]2)C1,OADMET-0001635,3.63,,,,,,
C=CC(=O)N1CC(C(=O)N2CCN(S(=O)(=O)c3ccc(C(N)=O)o3)CC2)C1,OADMET-0001595,1.8,,,,,,
C=CC(=O)N1CC(C(=O)NC(CC)CC)Oc2ccccc21,OADMET-0001669,3.72,,,,,,
C=CC(=O)N1CC(C(=O)NCC(C)(O)Cn2cc(Br)cn2)C1,OADMET-0001782,2.35,,,,,,
C=CC(=O)N1CC(C(=O)N[C@H]2COC[C@H]2Oc2cnn(-c3ccccc3)c2)C1,OADMET-0001555,3.25,,,,,,
C=CC(=O)N1CC(C(=O)Nc2cnn(-c3cccc(Cl)c3)c2C(C)C)C1,OADMET-0001578,3.58,,,,,,
C=CC(=O)N1CC(CC(=O)N(CCO)Cc2cnn(Cc3ccccc3)c2)C1,OADMET-0001789,1.73,,,,,,
C=CC(=O)N1CC(CC(=O)NC(C)COc2ccc(C)cc2)C1,OADMET-0001772,2.82,,,,,,
C=CC(=O)N1CC(CC(=O)NCCCNS(=O)(=O)c2ccccc2Cl)C1,OADMET-0001796,4.1,,,,,,
C=CC(=O)N1CC(CC(=O)Nc2ccc(=O)n(Cc3cccc(Cl)c3)c2)C1,OADMET-0001750,3.27,,,,,,
C=CC(=O)N1CC2(CCC(CNC(=O)C(C)Oc3ccc(C)cc3C)O2)C1,OADMET-0001562,4.52,,,,,,
C=CC(=O)N1CC=C(c2c(OC)cc(OC)cc2OC)CC1,OADMET-0001765,3.9,,,,,,
C=CC(=O)N1CCC(C(=O)N(Cc2cccnc2)Cc2ccccc2C)CC1,OADMET-0001817,3.77,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCC(NC(=O)c3cc(C)oc3C)CC2)CC1,OADMET-0001656,2.5,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,OADMET-0001708,2.43,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCC(n3cc(C(=O)OC)nn3)C2)CC1,OADMET-0001567,1.85,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCC=C(c3cnn(C)c3)C2)CC1,OADMET-0001791,1.91,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCCC(C)CC2)(c2ccccc2)CC1,OADMET-0001630,5.82,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCCC2Cn2cnc3ccccc32)CC1,OADMET-0001726,3.35,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCCc3sc(Br)cc3C2)CC1,OADMET-0001767,5.25,,,,,,
C=CC(=O)N1CCC(C(=O)N2CCc3c(ncn3-c3ccccc3)C2)CC1,OADMET-0001564,2.92,,,,,,
C=CC(=O)N1CCC(C(=O)NC(C)c2ccc3c(c2)NC(=O)CO3)CC1,OADMET-0001756,2.94,,,,,,
C=CC(=O)N1CCC(C(=O)NC(C)c2n[nH]c(CC)n2)(c2ccccc2)CC1,OADMET-0001642,4.24,,,,,,
C=CC(=O)N1CCC(C(=O)NC(CCO)c2cccs2)CC1,OADMET-0001666,1.76,,,,,,
C=CC(=O)N1CCC(C(=O)NC2CCN(S(=O)(=O)CCC)CC2)CC1,OADMET-0001763,1.88,,,,,,
C=CC(=O)N1CCC(C(=O)NC2COc3c(F)cc(F)cc3C2)CC1,OADMET-0001785,4.09,,,,,,
C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,OADMET-0001638,2.28,,,,,,
C=CC(=O)N1CCC(C(=O)NCCC(=O)N2CCN(c3ccccc3)CC2)CC1,OADMET-0001780,2.98,,,,,,
C=CC(=O)N1CCC(C(=O)NCc2cc(Cl)c3c(c2)OCCO3)CC1,OADMET-0001740,2.82,,,,,,
C=CC(=O)N1CCC(C(=O)NCc2cc3c(cc2OC)OCO3)C1,OADMET-0001615,2.79,,,,,,
C=CC(=O)N1CCC(C(=O)NCc2nnc(CC)s2)CC1,OADMET-0001778,2.28,,,,,,
C=CC(=O)N1CCC(C(=O)NCc2nnc3ccc(N(C)C)nn23)CC1,OADMET-0001607,2.28,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2c(-c3ccccc3)nc3ccccn23)CC1,OADMET-0001565,3.07,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2cc(-c3ccc(Cl)s3)[nH]n2)CC1,OADMET-0001792,2.25,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2cc(C)n(-c3ccccc3)n2)CC1,OADMET-0001650,2.86,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2ccc3c(ccn3CCC)c2)CC1,OADMET-0001790,2.57,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2cccc(-c3nnnn3CC)c2)C1,OADMET-0001632,2.45,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2cnn(-c3cnc4ccccc4n3)c2)CC1,OADMET-0001634,4.83,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2cnn(C(C)C3CC3)c2)CC1,OADMET-0001647,3.33,,,,,,
C=CC(=O)N1CCC(C(=O)Nc2nc3c(o2)CCCC3)CC1,OADMET-0001625,2.97,,,,,,
C=CC(=O)N1CCC(CC(=O)N2CCC(N(C)C)CC2)CC1,OADMET-0001575,2.48,,,,,,
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,,,2.282135893,3.161600362,1.393231611,1.004321374,0.752995432,0.901294817
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,,1.761739954,2.758344821,1.705596867,,0.968996327,0.231979027
C=CC(=O)N1CCCC(C(=O)N(C)C2CCN(c3cc(C)nc(C)n3)CC2)C1,OADMET-0001657,1.66,,,,,,
C=CC(=O)N1CCCC(C(=O)N2CCCC(c3ocnc3C(=O)OC)C2)C1,OADMET-0001576,2.7,,,,,,
C=CC(=O)N1CCCC(C(=O)N2CCN(c3nc(Br)n[nH]3)CC2)C1,OADMET-0001586,2.57,,,,,,
C=CC(=O)N1CCCC(C(=O)N2CCN(c3snc(C)c3C#N)CC2)C1,OADMET-0001770,1.94,,,,,,
C=CC(=O)N1CCCC(C(=O)N=S(C)(=O)c2cccc(Cl)c2)C1,OADMET-0001645,4.45,,,,,,
C=CC(=O)N1CCCC(C(=O)NCc2cc(=O)nc(SC)[nH]2)C1,OADMET-0001602,1.77,,,,,,
C=CC(=O)N1CCCC(C(=O)N[C@H](C)c2coc3c(F)cccc23)C1,OADMET-0001621,4.65,,,,,,
C=CC(=O)N1CCCC(C(=O)N[C@H]2CCC(=O)N[C@@H]2C2CC2)C1,OADMET-0001594,1.7,,,,,,
C=CC(=O)N1CCCC(C(=O)Nc2ccc3c(n2)NC(=O)CO3)C1,OADMET-0001596,2.23,,,,,,
C=CC(=O)N1CCCC1C(=O)NCc1noc2c1CC(C)CC2,OADMET-0001716,4.04,,,,,,
C=CC(=O)N1CCC[C@@H](C(=O)NCCc2cnc3c(Cl)cnn3c2)C1,OADMET-0001636,3.15,,,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,2.7565,3.2433,0.72516,0.93399,0.62603,-0.35853
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1,,,,,1.542976897,-0.769551079,,
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,2.219660482,2.712971095,0.762732149,1.75089392,0.983851719,0.276231958
C=CC(=O)N1CCN(C(=O)C2CCCN(c3nc(C)cs3)C2)[C@@H](C)C1,OADMET-0001664,3.43,,,,,,
C=CC(=O)N1CCN(C(=O)CC(O)c2ccc(Cl)c(Cl)c2)[C@@H](C)C1,OADMET-0001816,3.99,,,,,,
C=CC(=O)N1CCN(C(=O)COc2ccc(Cl)cc2Cl)CC1,OADMET-0001813,4.07,,,,,,
C=CC(=O)N1CCN(C(=O)c2cc(S(=O)(=O)NC)oc2C)[C@@H](C)C1,OADMET-0001644,2.51,,,,,,
C=CC(=O)N1CCN(C(=O)c2ccc(Cn3cc(Cl)cn3)cc2)[C@@H](C)C1,OADMET-0001663,1.89,,,,,,
C=CC(=O)N1CCN(C(=O)c2ccc(N3CCCNS3(=O)=O)cc2)[C@@H](C)C1,OADMET-0001600,1.96,,,,,,
C=CC(=O)N1CCN(C(=O)c2csc(N=S(C)(=O)N(C)C)n2)[C@@H](C)C1,OADMET-0001671,3.66,,,,,,
C=CC(=O)N1CCN(C(=O)c2nc(N3CCOCC3)ncc2Cl)[C@@H](C)C1,OADMET-0001553,2.96,,,,,,
C=CC(=O)N1CCN(Cc2csc(C(C)(C)C)n2)CC1,OADMET-0001569,4.28,,,,,,
C=CC(=O)N1CCS(=O)(=NS(=O)(=O)c2ccc(C)cc2)CC1,OADMET-0001598,3.71,,,,,,
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,,,0.675686709,1.435764759,1.81723103,1.729974286,1.828227965,1.74597993
C=CC(=O)N1Cc2ccccc2CC1CNC(=O)C1=NOC(c2ccccc2)C1,OADMET-0001570,4.63,,,,,,
C=CC(=O)NC(C)(C)CC(C)(NCCc1cnn(C)c1C)c1nnnn1C1CCCC1,OADMET-0001552,4.64,,,,,,
C=CC(=O)NC(C)C1CCN(C(=O)CC2COc3ccccc3O2)CC1,OADMET-0001753,4.63,,,,,,
C=CC(=O)NC(C)C1CN(C(=O)c2cccc(Cl)c2Cl)CCO1,OADMET-0001804,4.22,,,,,,
C=CC(=O)NC(C)c1nc(-c2ccc(Cl)cc2)c(C)s1,OADMET-0001566,4.66,,,,,,
C=CC(=O)NC(CNC(=O)c1nnc2ccccc2n1)c1ccc(C(C)C)cc1,OADMET-0001794,5.37,,,,,,
C=CC(=O)NC(Cc1ccccc1)c1nc(-c2ccncc2)no1,OADMET-0001649,3.95,,,,,,
C=CC(=O)NC(c1cccc(S(C)(=O)=O)c1)c1ccc(C)cc1C,OADMET-0001624,4.33,,,,,,
C=CC(=O)NC1(CNC(=O)C(C)(C)c2c(C)noc2C)CCCCCC1,OADMET-0001810,4.7,,,,,,
C=CC(=O)NC1(CNC(=O)[C@H]2CCCC[C@H]2c2ccccc2)CCOCC1,OADMET-0001805,4.64,,,,,,
C=CC(=O)NC1CCCOC1C1CCN(C(=O)CCCc2sccc2C)CC1,OADMET-0001610,5.01,,,,,,
C=CC(=O)NC1CCN(Cc2ccc(OC)cc2OC)C1=O,OADMET-0001752,3.33,,,,,,
C=CC(=O)NCC(=O)N1CCC2(CC1)OCCc1cc(Cl)sc12,OADMET-0001591,3.5,,,,,,
C=CC(=O)NCC(=O)NCC1(c2cccc(Cl)c2F)CCCC1,OADMET-0001618,4.88,,,,,,
C=CC(=O)NCC(=O)N[C@@H]1CC(C)(C)Oc2ccc(F)cc21,OADMET-0001779,3.76,,,,,,
C=CC(=O)NCC(NC(=O)C1CC=Cc2ccccc21)c1ccc2ccccc2c1,OADMET-0001793,5.21,,,,,,
C=CC(=O)NCC(NC(=O)c1ccc2c(c1)CNC2=O)c1ccc2ccccc2c1,OADMET-0001561,3.95,,,,,,
